typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,price_per_kg_usd
C,M,20220201,2022,2,202202,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24.134,True,-1,,0.0,False,24.134,True,0,False,,3035.092,3035.092,6,True,False,125.76000662965112
C,M,20220201,2022,2,202202,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,180.0,False,8,kg,180.0,False,180.0,False,0,False,,4086.464,4086.464,0,False,True,22.702577777777776
C,M,20220301,2022,3,202203,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,180.0,False,8,kg,180.0,False,180.0,False,0,False,,4057.208,4057.208,0,False,True,22.540044444444444
C,M,20220501,2022,5,202205,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,180.0,False,8,kg,180.0,False,180.0,False,0,False,,3845.997,3845.997,0,False,True,21.36665
C,M,20220701,2022,7,202207,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31.0,False,8,kg,31.0,False,31.0,False,0,False,0.0,1746.436,1746.436,0,True,False,56.33664516129032
C,M,20220701,2022,7,202207,826,GBR,United Kingdom,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10.0,False,8,kg,10.0,False,10.0,False,0,False,,1217.564,1217.564,0,False,True,121.75640000000001
C,M,20220901,2022,9,202209,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.445,True,-1,,0.0,False,9.445,True,0,False,,1072.579,1072.579,6,True,False,113.56050820539967
C,M,20221101,2022,11,202211,276,DEU,Germany,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.25,True,-1,,0.0,False,5.25,True,0,False,,756.934,756.934,6,False,True,144.17790476190476
C,M,20221201,2022,12,202212,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,120.0,False,8,kg,120.0,False,120.0,False,0,False,,2946.194,2946.194,0,False,True,24.551616666666668
C,M,20230101,2023,1,202301,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100.0,False,8,kg,100.0,False,100.0,False,0,False,,2392.572,2392.572,0,False,True,23.925720000000002
