period,banana_price_ngn,milk_price_ngn,sugar_price_ngn,banana_price_usd,milk_price_usd,sugar_price_usd
202201,176.9230769230769,3000.0,538.0,0.4307692307692308,7.25,1.3
202202,182.69230769230768,3250.0,548.0,0.43846153846153846,7.825000000000001,1.32
202203,179.23076923076923,3500.0,558.0,0.4307692307692308,8.425,1.34
202204,200.3846153846154,3500.0,616.0,0.4807692307692307,8.45,1.48
202205,239.23076923076923,4000.0,616.0,0.5769230769230769,9.65,1.48
202302,214.23076923076923,4975.0,800.0,0.4653846153846154,10.8125,1.74
202303,192.3076923076923,5000.0,800.0,0.4153846153846154,10.875,1.74
202304,254.6153846153846,5000.0,800.0,0.5538461538461538,10.875,1.74
202305,230.76923076923077,4900.0,866.0,0.5,10.65,1.8900000000000001
202306,240.3846153846154,4950.0,975.0,0.3923076923076923,8.100000000000001,1.6
202307,269.2307692307692,6000.0,1024.0,0.34615384615384615,7.75,1.32
202308,273.57692307692304,5825.0,1150.0,0.36153846153846153,7.675,1.52
202309,260.25384615384615,5853.262500000001,1200.0,0.3384615384615384,7.625,1.56
202310,288.46153846153845,5875.0,1340.0,0.3769230769230769,7.6625,1.74
202311,307.6923076923077,6000.0,1488.42,0.36153846153846153,7.125,1.77
202312,205.3846153846154,7218.75,1600.0,0.26153846153846155,9.15,2.02
202401,230.76923076923077,7291.675,1732.0,0.2692307692307692,8.425,2.0
202402,384.6153846153846,7500.0,1984.83,0.25384615384615383,4.95,1.31
202403,384.6153846153846,7786.45,2196.66,0.23846153846153845,4.825,1.36
202404,364.95,7804.1625,1981.87,0.3153846153846154,6.7625,1.72
202405,384.6153846153846,7645.825,2029.68,0.25384615384615383,5.0249999999999995,1.34
202406,384.6153846153846,7858.7,2022.9299999999998,0.26153846153846155,5.275,1.35
202407,429.9,9862.9,2057.42,0.2692307692307692,6.175000000000001,1.29
202408,384.6153846153846,9830.65,2181.94,0.23846153846153845,6.175,1.36
202409,394.2307692307692,9497.2875,2360.0,0.24615384615384614,5.8500000000000005,1.46
202410,398.0153846153846,9650.0,,0.24230769230769228,5.8999999999999995,
202411,454.8307692307692,9250.0,,0.27307692307692305,5.550000000000001,
202412,512.8230769230769,10000.0,2400.0,0.33076923076923076,6.5,1.56
202501,264.05384615384617,10000.0,2286.3199999999997,0.17307692307692307,6.425,1.47
202502,439.5615384615384,10000.0,2274.7799999999997,0.2923076923076923,6.625,1.51
202503,585.5615384615385,10000.0,2107.9,0.38076923076923075,6.45,1.3599999999999999
202504,461.53846153846155,9000.0,2210.0,0.2846153846153846,5.6000000000000005,1.38
202505,512.8230769230769,10000.0,2186.66,0.32307692307692304,6.25,1.36
202506,508.36153846153843,10000.0,2032.67,0.33076923076923076,6.475,1.32
202507,692.3076923076923,10000.0,2020.74,0.4538461538461538,6.550000000000001,1.32
202508,655.1884615384615,10000.0,2015.0,0.42692307692307696,6.5249999999999995,1.31
202509,423.0769230769231,10000.0,2100.0,0.28076923076923077,6.675,1.4
202510,415.6807692307692,10000.0,2040.0,0.2846153846153846,6.825,1.4
202511,408.02307692307687,10000.0,2004.67,0.2846153846153846,6.925,1.39
