period,pms_price,diesel_price,inflation_rate
202201,185.3,539.32,15.6
202202,185.3,539.32,15.76
202203,185.3,539.32,15.92
202204,172.61,654.46,16.815
202205,173.08,671.08,17.71
202206,175.89,700.7850000000001,18.6
202207,190.01,730.49,19.2225
202208,189.46,760.1949999999999,19.845
202209,191.65,789.9,20.4675
202210,195.29,799.22,21.09
202211,202.48,808.54,21.215
202212,206.19,817.86,21.34
202301,234.975,828.82,21.581666666666667
202302,263.76,834.815,21.823333333333334
202303,258.90999999999997,840.81,22.064999999999998
202304,254.06,842.25,22.306666666666665
202305,238.11,826.3266666666667,22.548333333333332
202306,545.83,810.4033333333333,22.79
202307,600.35,794.48,23.924999999999997
202308,626.7,854.32,25.06
202309,626.21,890.8,26.195
202310,630.63,1004.98,27.33
202311,648.93,1055.57,28.125
202312,671.86,1126.69,28.92
202401,668.3,1153.01,29.926000000000002
202402,679.36,1247.085,30.932000000000002
202403,690.3,1341.16,31.938000000000002
202404,701.24,1415.06,32.944
202405,769.62,1403.96,33.95
202406,750.17,1462.98,34.19
202407,770.54,1379.48,34.1125
202408,830.46,1399.155,34.035
202409,1030.46,1418.83,33.9575
202410,1184.83,1441.28,33.88
202411,1214.17,1441.28,34.6
202412,1189.12,1441.28,34.8
202501,1189.12,1441.28,32.434
202502,1189.12,1441.28,30.067999999999998
202503,1189.12,1441.28,27.701999999999998
202504,1189.12,1441.28,25.336
202505,1189.12,1441.28,22.97
202506,1189.12,1441.28,21.586
202507,1189.12,1441.28,20.201999999999998
202508,1189.12,1441.28,18.817999999999998
202509,1189.12,1441.28,17.434
202510,1189.12,1441.28,16.05
202511,1189.12,1441.28,14.45
202512,1189.12,1441.28,14.45
